Guarantee_Class,Target_Alpha (%),Scoring_Model,Mean_Tau,All_Folds_Certified,Mean_Test_Risk,Risk_Std,Coverage_Pct,SAY_Pct,Total_Hits,Total_False_Alarms,Risk_Descriptive_CI
Tier 1: Marginal CRC (E[L] <= alpha),10,M1: Raw YOLOv8s @ 832,0.54944,True,5.968,3.6305605627781503,8.738,7.303999999999999,151,30,"[1.46%, 10.48%]"
Tier 1: Marginal CRC (E[L] <= alpha),10,M2: Conf Platt Baseline,0.8246399999999999,True,5.968,3.6305605627781503,8.738,7.303999999999999,151,30,"[1.46%, 10.48%]"
Tier 1: Marginal CRC (E[L] <= alpha),10,M4: Conf + Consistency,0.8840199999999999,True,2.6,1.950179478919825,5.616,5.044,102,11,"[0.18%, 5.02%]"
Tier 1: Marginal CRC (E[L] <= alpha),10,M6: AquaTrust (Ours),0.83152,True,6.401999999999999,5.112046556908495,10.057999999999998,8.446000000000002,172,33,"[0.06%, 12.75%]"
Tier 1: Marginal CRC (E[L] <= alpha),15,M1: Raw YOLOv8s @ 832,0.47464000000000006,True,8.370000000000001,5.371182365178081,14.16,11.692,244,52,"[1.70%, 15.04%]"
Tier 1: Marginal CRC (E[L] <= alpha),15,M2: Conf Platt Baseline,0.7567600000000001,True,8.370000000000001,5.371182365178081,14.16,11.692,244,52,"[1.70%, 15.04%]"
Tier 1: Marginal CRC (E[L] <= alpha),15,M4: Conf + Consistency,0.7994199999999999,True,11.106,8.498754614647961,13.016,10.72,221,47,"[0.56%, 21.66%]"
Tier 1: Marginal CRC (E[L] <= alpha),15,M6: AquaTrust (Ours),0.78108,True,10.154,5.3867225657165605,14.445999999999998,11.58,240,60,"[3.47%, 16.84%]"
Tier 1: Marginal CRC (E[L] <= alpha),20,M1: Raw YOLOv8s @ 832,0.42135999999999996,True,14.048000000000002,6.175121051445065,19.5,14.896,314,99,"[6.38%, 21.71%]"
Tier 1: Marginal CRC (E[L] <= alpha),20,M2: Conf Platt Baseline,0.69734,True,14.048000000000002,6.175121051445065,19.5,14.896,314,99,"[6.38%, 21.71%]"
Tier 1: Marginal CRC (E[L] <= alpha),20,M4: Conf + Consistency,0.7268800000000001,True,16.14,7.695677358101754,19.91,15.184000000000001,315,99,"[6.59%, 25.69%]"
