Model,Target_Alpha,Expected_Loss_Mean,Expected_Loss_95_CI,Expected_Coverage_Mean,Expected_Coverage_95_CI,Expected_SAY_Mean,Expected_SAY_95_CI
M1: Raw YOLOv8s,10,7.03,"[2.62%, 11.46%]",13.5,"[7.03%, 19.81%]",10.67,"[5.64%, 15.12%]"
M1: Raw YOLOv8s,15,11.51,"[4.76%, 18.18%]",21.59,"[13.26%, 30.85%]",15.62,"[10.41%, 20.94%]"
M1: Raw YOLOv8s,20,21.22,"[17.05%, 25.55%]",33.88,"[25.39%, 42.82%]",21.47,"[16.25%, 26.58%]"
M1: Raw YOLOv8s,25,25.16,"[19.76%, 30.80%]",47.58,"[36.58%, 58.48%]",26.88,"[24.18%, 30.03%]"
M1: Raw YOLOv8s,30,32.59,"[27.84%, 38.16%]",60.62,"[49.17%, 71.97%]",31.54,"[29.32%, 34.83%]"
M2: Conf-Only Platt,10,7.56,"[2.98%, 12.97%]",13.84,"[7.30%, 20.31%]",10.83,"[6.05%, 15.26%]"
M2: Conf-Only Platt,15,11.34,"[4.72%, 18.18%]",21.38,"[13.16%, 30.65%]",15.56,"[10.25%, 20.94%]"
M2: Conf-Only Platt,20,21.22,"[16.75%, 25.59%]",34.05,"[26.05%, 43.02%]",21.58,"[16.45%, 26.63%]"
M2: Conf-Only Platt,25,25.8,"[20.75%, 31.17%]",47.67,"[37.59%, 57.47%]",26.81,"[24.49%, 30.20%]"
M2: Conf-Only Platt,30,32.77,"[28.01%, 38.13%]",60.68,"[49.17%, 72.06%]",31.53,"[29.36%, 35.00%]"
M4: Conf+Consistency,10,9.66,"[5.13%, 15.50%]",13.74,"[8.20%, 21.11%]",10.85,"[6.60%, 15.59%]"
M4: Conf+Consistency,15,14.15,"[9.32%, 19.01%]",22.51,"[16.20%, 28.79%]",16.36,"[11.83%, 20.27%]"
M4: Conf+Consistency,20,21.74,"[18.10%, 24.32%]",34.52,"[31.95%, 37.25%]",22.98,"[20.17%, 25.11%]"
M4: Conf+Consistency,25,25.9,"[22.64%, 29.28%]",45.7,"[37.60%, 54.13%]",27.66,"[22.94%, 31.58%]"
M4: Conf+Consistency,30,28.71,"[24.95%, 32.38%]",50.5,"[42.45%, 58.62%]",29.26,"[24.66%, 33.33%]"
M6: AquaTrust (Ours),10,10.8,"[5.66%, 15.60%]",17.76,"[13.56%, 21.75%]",13.44,"[10.74%, 16.15%]"
M6: AquaTrust (Ours),15,17.43,"[10.97%, 22.22%]",32.62,"[23.24%, 42.00%]",21.72,"[16.86%, 26.84%]"
M6: AquaTrust (Ours),20,21.51,"[15.91%, 26.13%]",41.91,"[33.87%, 50.07%]",26.44,"[22.74%, 30.18%]"
M6: AquaTrust (Ours),25,25.76,"[19.41%, 33.09%]",54.05,"[44.90%, 63.61%]",31.5,"[27.65%, 34.76%]"
M6: AquaTrust (Ours),30,28.25,"[21.03%, 35.08%]",60.07,"[48.67%, 71.18%]",33.59,"[29.51%, 37.48%]"
