Conformal_Mechanism,Target_Alpha (%),Scoring_Model,Mean_Coverage,Mean_Test_Risk,Mean_SAY,Total_Accepted,Total_True_Hits,Total_False_Alarms,Bound_Success_Rate
1. Clopper-Pearson LTT-CRC (Risk <= alpha),10,M1: Raw YOLOv8s,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),10,M2: Conf-Only Platt,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),10,M6: AquaTrust (Ours),0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),15,M1: Raw YOLOv8s,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),15,M2: Conf-Only Platt,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),15,M6: AquaTrust (Ours),0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),20,M1: Raw YOLOv8s,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),20,M2: Conf-Only Platt,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),20,M6: AquaTrust (Ours),0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),25,M1: Raw YOLOv8s,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),25,M2: Conf-Only Platt,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),25,M6: AquaTrust (Ours),0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),30,M1: Raw YOLOv8s,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),30,M2: Conf-Only Platt,0.0,0.0,0.0,0,0,0,1.0
1. Clopper-Pearson LTT-CRC (Risk <= alpha),30,M6: AquaTrust (Ours),0.0,0.0,0.0,0,0,0,1.0
2. Conformal FDR-BH (FDR <= alpha),10,M1: Raw YOLOv8s,6.35,8.78,5.43,130,111,19,0.6
2. Conformal FDR-BH (FDR <= alpha),10,M2: Conf-Only Platt,6.35,8.78,5.43,130,111,19,0.6
2. Conformal FDR-BH (FDR <= alpha),10,M6: AquaTrust (Ours),5.19,5.5,4.45,100,86,14,0.6
2. Conformal FDR-BH (FDR <= alpha),15,M1: Raw YOLOv8s,6.35,8.78,5.43,130,111,19,0.8
2. Conformal FDR-BH (FDR <= alpha),15,M2: Conf-Only Platt,6.35,8.78,5.43,130,111,19,0.8
