Target_Alpha (%),Configuration,Mean_Accepted_Detections,Mean_Coverage_Pct,Mean_Overall_Test_Risk,Mean_MILCO_Risk,Mean_NOMBO_Risk,Bound_Success_Rate
10,B1: Strict Mondrian CRC,87.2,20.56,28.07,21.71,40.92,0.0
10,B2: Marginal Pooled CRC,86.0,20.44,25.07,22.88,30.98,0.0
10,B3: Class-Shrinkage CRC,82.8,19.62,24.6,22.88,25.69,0.0
15,B1: Strict Mondrian CRC,119.2,28.06,31.16,28.14,40.92,0.2
15,B2: Marginal Pooled CRC,109.8,25.92,28.84,26.67,38.21,0.2
15,B3: Class-Shrinkage CRC,106.0,25.02,28.96,26.67,48.51,0.2
20,B1: Strict Mondrian CRC,155.6,36.66,32.54,30.55,35.56,0.2
20,B2: Marginal Pooled CRC,153.4,36.08,32.26,30.53,38.15,0.2
20,B3: Class-Shrinkage CRC,144.6,34.0,31.99,30.53,36.66,0.2
25,B1: Strict Mondrian CRC,181.8,42.82,35.22,34.12,35.55,0.2
25,B2: Marginal Pooled CRC,171.6,40.52,34.81,33.72,41.11,0.2
25,B3: Class-Shrinkage CRC,162.8,38.4,34.62,33.72,36.47,0.2
30,B1: Strict Mondrian CRC,207.2,48.96,38.1,36.76,36.67,0.2
30,B2: Marginal Pooled CRC,212.0,50.26,38.34,37.44,39.74,0.2
30,B3: Class-Shrinkage CRC,201.4,47.74,37.72,37.44,37.58,0.2
